# copied from 2006
# updated from iccc data
# remove this line when finished
2022-09-16      white  Pentecost Ninian
2022-09-17      green  Pentecost Pentecost 16
2022-09-18      white  Pentecost Edward Bouverie Pusey
2022-09-19      white  Pentecost Theodore of Tarsus
2022-09-20        red  Pentecost John Coleridge Patteson and companions
2022-09-21        red  Pentecost Matthew
2022-09-22      green  Pentecost
2022-09-23      green  Pentecost
2022-09-24      green  Pentecost Pentecost 17
2022-09-25      white  Pentecost Sergius
2022-09-26      white  Pentecost Lancelot Andrewes
2022-09-27      green  Pentecost
2022-09-28      green  Pentecost
2022-09-29      white  Pentecost Michael and All Angels
2022-09-30      white  Pentecost Jerome
2022-10-01      green  Pentecost Pentecost 18
2022-10-02      white  Pentecost Remigius (transferred)
2022-10-03      green  Pentecost
2022-10-04      white  Pentecost Francis of Assisi
2022-10-05      green  Pentecost
2022-10-06      white  Pentecost William Tyndale
2022-10-07      green  Pentecost
2022-10-08      green  Pentecost Pentecost 19
2022-10-09      white  Pentecost Robert Grosseteste
2022-10-10      green  Pentecost
2022-10-11      green  Pentecost
2022-10-12      green  Pentecost
2022-10-13      green  Pentecost
2022-10-14      green  Pentecost
2022-10-15      green  Pentecost Pentecost 20
2022-10-16        red  Pentecost Hugh Latimer, Nicholas Ridley, Thomas Cranmer
2022-10-17        red  Pentecost Ignatius
2022-10-18      white  Pentecost Luke
2022-10-19      white  Pentecost Henry Martyn
2022-10-20      green  Pentecost
2022-10-21      green  Pentecost
2022-10-22      green  Pentecost Pentecost 21
2022-10-23        red  Pentecost James of Jerusalem
2022-10-24      green  Pentecost
2022-10-25      green  Pentecost
2022-10-26      white  Pentecost Alfred the Great
2022-10-27      green  Pentecost
2022-10-28      white  Pentecost Simon and Jude
2022-10-29      green  Pentecost Pentecost 22
2022-10-30        red  Pentecost James Hannington and his companions (transferred)
2022-10-31      green  Pentecost
2022-11-01      white  Pentecost All Saints
2022-11-02      white  Pentecost All Faithful Departed
2022-11-03      white  Pentecost Richard Hooker
2022-11-04      green  Pentecost
2022-11-05      green  Pentecost Pentecost 23
2022-11-06      green  Pentecost
2022-11-07      white  Pentecost Willibrord
2022-11-08      green  Pentecost
2022-11-09      green  Pentecost
2022-11-10      white  Pentecost Leo the Great
2022-11-11      white  Pentecost Martin of Tours
2022-11-12      green  Pentecost Pentecost 24
2022-11-13      white  Pentecost Charles Simeon (transferred)
2022-11-14      white  Pentecost Consecration of Samuel Seabury
2022-11-15      green  Pentecost
2022-11-16      white  Pentecost Margaret
2022-11-17      white  Pentecost Hugh
2022-11-18      white  Pentecost Hilda
2022-11-19      white  Pentecost Christ the King
2022-11-20      white  Pentecost Elizabeth of Hungary (transferred)
2022-11-21      green  Pentecost
2022-11-22      green  Pentecost
2022-11-23      white  Pentecost Clement of Rome
2022-11-24      green  Pentecost
2022-11-25      green  Pentecost
2022-11-26      white     Advent Advent Sunday
2022-11-27       blue     Advent
2022-11-28       blue     Advent
2022-11-29       blue     Advent
2022-11-30      white     Advent Andrew
2022-12-01      white     Advent Nicholas Ferrar
2022-12-02      white     Advent Channing Moore Williams
2022-12-03       rose     Advent Advent 2
2022-12-04      white     Advent John of Damascus
2022-12-05      white     Advent Clement of Alexandria
2022-12-06      white     Advent Nicholas
2022-12-07      white     Advent Ambrose
2022-12-08       blue     Advent
2022-12-09       blue     Advent
2022-12-10       blue     Advent Advent 3
2022-12-11       blue     Advent
2022-12-12       blue     Advent
2022-12-13       blue     Advent
2022-12-14       blue     Advent
2022-12-15       blue     Advent
2022-12-16       blue     Advent
2022-12-17       blue     Advent Advent 4
2022-12-18       blue     Advent
2022-12-19       blue     Advent
2022-12-20       blue     Advent
2022-12-21      white     Advent Thomas
2022-12-22       blue     Advent
2022-12-23       blue     Advent
2022-12-24       blue     Advent Advent 5
2022-12-25      white  Christmas Christmas
2022-12-26        red  Christmas Stephen
2022-12-27      white  Christmas John the Apostle
2022-12-28        red  Christmas Holy Innocents
2022-12-29      green  Christmas
2022-12-30      green  Christmas
2022-12-31      green  Christmas Christmas 1
